name,games played,wins,losses,last_played,ts_elo,ts_mu,ts_sigma
(HBM) MARK,16,8,8,2019-05-17,1270.5333262509203,15.809333446671985,4.03199314607554
...,4,4,0,2020-02-18,1752.2606060021974,29.537939976507513,6.606841939809573
123,41,17,24,2019-07-07,1514.1782199396064,22.752898860244997,2.5218630040879
12OCKY,94,55,39,2020-05-06,1764.9478251667847,29.89950936896197,1.9042842864971128
4LEX,708,318,390,2023-11-15,1480.142484524048,21.782924272725182,1.6420712217991003
ADRIAN,8,3,5,2020-04-22,1549.0197930148493,23.745838782346745,4.957568309045543
AMAGAND,5,2,3,2019-05-14,1644.4864738001334,26.46651612884718,5.453043837328957
ANTHONY210,4,3,1,2020-03-06,1549.2968621568125,23.753734895752523,6.16617476441848
AREA213,1075,546,529,2023-11-14,1558.725387626156,24.022435718325788,1.7721861610336587
ASHFALL,274,118,156,2020-08-13,1515.826565674252,22.799874588976337,1.3969597122769657
ATTACKTACOS,212,86,126,2022-11-06,1458.5961837015084,21.16888247231304,5.052912129792367
AVNY,2,1,1,2019-05-19,1580.5178886819208,24.643493908034483,7.305779853791562
AVRO,11,4,7,2020-05-10,1196.0038909496861,13.68534060850479,4.973242624840135
BATGIRL,215,129,86,2020-05-07,1743.1857722297518,29.279318911389733,1.5873214693190996
BEHEMOTH,8,1,7,2019-04-16,1366.1743499937659,18.53497934273607,5.472572790968886
BLACKOUT,3,0,3,2019-05-21,1000.0,8.099482364075776,6.211055075066782
BLITZEY,25,7,18,2019-05-30,1287.8957360029217,16.304139744579956,3.663799519372939
BOLT,92,68,24,2020-05-15,2000.0,36.598193371108245,1.769657142090527
BROCOP,1,1,0,2020-07-12,1732.1386404484024,28.964489895296445,7.610129855037839
BROTHERGLACIUS,168,61,107,2023-11-14,1036.3281525323953,9.134787884515903,4.725021148691796
CHAOS,2,0,2,2020-05-20,1395.956483468654,19.383731757809777,6.874504220788572
CHEESEDOG,2,1,1,2023-09-24,1599.5638926048987,25.186280469674234,7.107816496492846
CHICKYLEGS,111,50,61,2023-11-13,1068.5027978452897,10.05172380304185,2.4022736182368147
CLONE,520,239,281,2023-11-14,1532.2183189493928,23.267018428463157,2.830543645773075
COLONEL - COMMISSAR,2,0,2,2021-04-23,1239.8069183747289,14.933670428324197,6.560033426831745
COOMERGANG,256,172,84,2020-07-12,1841.9009449457992,32.09257409063366,1.26030740192954
CRAZY IVAN,25,5,20,2020-06-22,1296.1619382444037,16.539715853385633,4.710843981411948
CRIMSONRABBIT,73,26,47,2020-06-27,1203.607394378766,13.902030655371119,3.571285864832676
CRONO,21,9,12,2023-11-02,1335.2150159507823,17.6526782288749,7.129445306839143
CSHAFFER,3,0,3,2021-06-14,1224.753592767113,14.504670052137994,6.383783827609141
DANNY,1,0,1,2019-04-06,1440.592240746972,20.655793305064606,7.609411814027156
DARSIN,49,25,24,2021-07-10,1438.9329519027624,20.60850571181628,5.863296935528111
DEAN,11,2,9,2019-07-04,1131.5337002248777,11.848023274470208,4.844203589030262
DERPRDEL,10,3,7,2020-04-26,1296.4491427171624,16.54790081065471,4.582362468989827
DETROCT,33,8,25,2020-03-12,1266.7078265177997,15.700311635320304,3.9443381112368687
DIRE,58,27,31,2023-11-13,1409.6945963883102,19.775250267689035,5.856586718891791
DRSOCKSMD,34,12,22,2023-01-10,1148.2703797724917,12.324997068114968,5.023385373765821
DUNEDANE,24,12,12,2019-05-20,1444.7338257834695,20.7738231401308,3.2460271795599147
EARTHSHAKER12,73,26,47,2022-03-29,1266.5299470392342,15.69524229946658,2.7780359712227134
ERA,71,43,28,2021-12-02,1704.9675467363122,28.19014874785059,4.788420544317645
FABULOUSRUG,63,30,33,2020-01-18,1666.2501935036355,27.086754087115345,2.9688868905874832
FANTIK,15,7,8,2022-04-25,1372.7809446200695,18.72325877373171,3.8139914678101623
FEG-E-LEIN,1,0,1,2021-01-26,1373.2185278502247,18.735729331749432,7.125507206836674
FLAKY,88,36,52,2023-11-11,1391.3083175526483,19.25126502065679,3.9112152314862088
FLEUR DE LYS,29,16,13,2021-09-18,1490.8790859948645,22.088903575239655,3.1874117930473194
FREUDENFEUER,1,0,1,2019-08-09,1362.2199728814994,18.422284692200765,6.800206242181607
FREUDENFIRING,1,0,1,2019-08-17,1409.7901317251426,19.777972901644386,7.344564460472278
FRIENDLY,68,26,42,2019-07-21,1313.8057400145603,17.042541461098697,2.0903276140996754
FRISKY BANANA,1,0,1,2019-04-07,1463.83877799095,21.31828965189495,7.6989290570821405
FRYSTFRYSPIZZA,20,11,9,2019-05-31,1388.9601393283078,19.184344968048304,3.4157104721528624
